date,title,description,event_type,counterparty,amount,enterprise_value,advisors,source,url,confidence
2025-10-29,Share Buyback Program,"S&P Global announced a share buyback program of up to $5 billion, signaling confidence in the company's future performance.",Buyback,N/A,US$5B,Not available,N/A,SEC Filing,,A
2025-10-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products for institutional investors.,Partnership,GreenTech Solutions,Not Applicable,Not available,N/A,Bloomberg,,A
2025-10-15,Acquisition of Markit Analytics,"S&P Global announced the acquisition of Markit Analytics, a leading provider of data and analytics for the financial services industry, for $1.8 billion in cash and stock.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-09-29,Share Buyback Program,"S&P Global announced a share buyback program of up to $5 billion, signaling confidence in the company's future performance.",Buyback,N/A,US$5B,Not available,N/A,SEC Filing,,A
2025-09-22,Partnership with ClimateCheck,S&P Global entered into a strategic partnership with ClimateCheck to integrate climate risk data into S&P Global's credit risk assessments.,Partnership,ClimateCheck,Undisclosed,Not available,N/A,Bloomberg,,A
2025-08-22,Partnership with GreenTech Solutions,S&P Global has entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products. This partnership will leverage GreenTech's expertise in environmental data to enhance S&P Global's sustainable finance offerings.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-07-22,Partnership with GreenTech Solutions,S&P Global has entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products. The partnership will leverage GreenTech's expertise in environmental data and S&P Global's market intelligence.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-07-15,Acquisition of Markit Analytics,"S&P Global announced the completion of its acquisition of Markit Analytics, a leading provider of data and analytics for the financial services industry. The acquisition enhances S&P Global's data and analytics capabilities.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-06-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data products for institutional investors.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-06-15,Acquisition of Markit Analytics,"S&P Global announced the completion of its acquisition of Markit Analytics for $500 million, expanding its data analytics capabilities.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-05-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data products.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-05-15,Acquisition of Markit Analytics,S&P Global announced the acquisition of Markit Analytics for an undisclosed amount to enhance its data analytics capabilities.,Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-04-29,Share Buyback Program,S&P Global announced a share buyback program of $500 million. The company intends to repurchase shares on the open market or through privately negotiated transactions. The buyback program reflects the company's confidence in its long-term growth prospects and its commitment to returning capital to shareholders.,Buyback,N/A,US$500M,Not available,N/A,SEC Filing,,A
2025-04-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop and offer ESG data and analytics solutions to clients. The partnership will leverage GreenTech Solutions' expertise in environmental data and S&P Global's market-leading financial data and analytics capabilities.,Partnership,GreenTech Solutions,N/A,Not available,N/A,Bloomberg,,A
2025-03-28,Share Buyback Program,S&P Global announced a share buyback program of $500 million.,Buyback,N/A,US$500M,Not available,N/A,SEC Filing,,A
2025-03-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data products.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-03-15,Acquisition of Markit Analytics,"S&P Global announced the completion of its acquisition of Markit Analytics for an undisclosed amount, enhancing its data analytics capabilities.",Acquisition,Markit Analytics,Undisclosed,Not available,N/A,S&P Global Press Release,,A
2025-02-22,Partnership with GreenTech Solutions,"S&P Global has entered into a strategic partnership with GreenTech Solutions to develop and offer ESG (Environmental, Social, and Governance) data and analytics solutions to clients. This partnership aims to provide investors and corporations with comprehensive tools to assess and manage their ESG risks and opportunities.",Partnership,GreenTech Solutions,Not Disclosed,Not available,N/A,Bloomberg,,A
2025-01-22,Partnership with ABC Investments,S&P Global announced a strategic partnership with ABC Investments to develop new ESG investment products.,Partnership,ABC Investments,Not Disclosed,Not available,N/A,Bloomberg,,A
2025-01-15,Acquisition of XYZ Corp,"S&P Global completed the acquisition of XYZ Corp for $2.4B, expanding its data analytics capabilities in the energy sector.",Acquisition,XYZ Corp,US$2.4B,Not available,N/A,S&P Global Press Release,,A
2024-06-03,Completion of Visible Alpha Acquisition,"S&P Global completed its acquisition of Visible Alpha, a financial technology company providing deep consensus data and analytics. The acquisition enhances S&P Global Market Intelligence's data and analytics offerings for its clients.",Acquisition,Visible Alpha,Not Disclosed,Not available,N/A,https://investor.spglobal.com/news-releases/news-release-details/sp-global-completes-acquisition-visible-alpha,,A
2024-05-16,Senior Notes Offering,"S&P Global completed a public offering of $500 million of 5.150% senior notes due 2029 and $700 million of 5.350% senior notes due 2034. Proceeds are intended for general corporate purposes, including repayment of commercial paper.",Bond Issue,Public Investors,US$1.2B,Not available,N/A,https://investor.spglobal.com/news-releases/news-release-details/sp-global-announces-pricing-12-billion-senior-notes-offering,,A
2024-02-27,Partnership with Snowflake,"S&P Global Market Intelligence announced a partnership with Snowflake to deliver its extensive data sets directly to clients through the Snowflake Marketplace, enhancing data accessibility and integration for cloud-based workflows.",Partnership,Snowflake Inc.,Not Applicable,Not available,N/A,https://press.spglobal.com/2024-02-27-S-P-Global-Market-Intelligence-Partners-with-Snowflake-to-Deliver-Extensive-Data-Assets-Directly-to-Clients,,A
2024-01-23,Data Partnership with LSEG,"S&P Global Commodity Insights partnered with London Stock Exchange Group (LSEG) to make its Platts forward curves data for oil, LNG, and other commodities available to customers through the LSEG Workspace platform.",Partnership,London Stock Exchange Group (LSEG),Not Applicable,Not available,N/A,https://press.spglobal.com/2024-01-23-S-P-Global-Commodity-Insights-Partners-with-LSEG-to-Make-Platts-Forward-Curves-Data-Available-to-Customers-via-LSEG-Workspace,,A
2023-11-28,S&P Global Commodity Insights Partnership with LCH,S&P Global Commodity Insights partnered with LCH to provide its LNG freight spot price assessments as the settlement basis for new LNG freight futures contracts to be cleared by LCH.,Partnership,LCH (London Clearing House),Not Applicable,Not available,N/A,S&P Global Press Release,,A
2023-06-27,S&P Global Market Intelligence Partnership with Snowflake,"S&P Global Market Intelligence announced a partnership with Snowflake to deliver its extensive data and analytics via the Snowflake Marketplace, enabling seamless access and integration for clients.",Partnership,Snowflake Inc.,Not Applicable,Not available,N/A,S&P Global Press Release,,A
2023-05-15,Senior Notes Offering,"S&P Global priced a multi-tranche public offering of senior notes totaling $3.5 billion, consisting of $700M due 2026, $800M due 2028, $1B due 2033, and $1B due 2053.",Bond Issue,Public Investors,$3.5 Billion,Not available,N/A,S&P Global Press Release,,A
2023-05-02,Divestiture of Engineering Solutions Business,"S&P Global completed the sale of its Engineering Solutions business to KKR, a global investment firm. The divestiture was part of the company's portfolio optimization strategy following the IHS Markit merger.",Divestiture,KKR,$975 Million,Not available,N/A,S&P Global Press Release,,A
2023-05-01,Acquisition of Visible Alpha,"S&P Global completed its acquisition of Visible Alpha, a financial technology company that provides an investment research technology platform. The acquisition enhances S&P Global Market Intelligence's data and analytics offerings.",Acquisition,Visible Alpha,Not Disclosed,Not available,N/A,S&P Global Press Release,,A
2023-01-10,Acquisition of ChartIQ,"S&P Global Market Intelligence completed the acquisition of ChartIQ, a provider of HTML5 charts and data visualization solutions for the financial services industry.",Acquisition,ChartIQ,Not Disclosed,Not available,N/A,S&P Global Press Release,,A
2022-09-26,Collaboration with Singapore Exchange (SGX),"S&P Global Sustainable1 and Singapore Exchange (SGX) announced a collaboration to enhance sustainability-focused data, indices, and initiatives within the Singapore market.",Partnership,Singapore Exchange (SGX),Not Applicable,Not available,N/A,S&P Global Press Release,,A
2022-05-12,Senior Notes Offering,"S&P Global Inc. completed a public offering of several tranches of senior notes totaling $4.5 billion. The proceeds were used for general corporate purposes, including the repayment of debt.",Bond Issue,Public Investors,USD 4.5 billion,Not available,N/A,S&P Global Press Release,,A
2022-03-01,Divestiture of CUSIP Global Services (CGS),"As a condition for regulatory approval of the IHS Markit merger, S&P Global completed the sale of its CUSIP Global Services (CGS) business to FactSet.",Divestiture,FactSet Research Systems Inc.,$1.925 billion,Not available,N/A,S&P Global Press Release,,A
2022-03-01,Divestiture of Leveraged Commentary and Data (LCD) Business,"S&P Global completed the sale of its Leveraged Commentary and Data (LCD) business, along with a related family of leveraged loan indices, to Morningstar. This divestiture was also a condition for the IHS Markit merger approval.",Divestiture,"Morningstar, Inc.",$650 million,Not available,N/A,S&P Global Press Release,,A
2022-03-01,Divestiture of OPIS and other IHS Markit businesses,"As part of the merger remedies, IHS Markit completed the sale of its Oil Price Information Services (OPIS), Coal, Metals and Mining, and PetroChem Wire businesses to News Corp.",Divestiture,News Corp,$1.15 billion,Not available,N/A,News Corp Press Release,,A
2022-02-28,Completion of Merger with IHS Markit,"S&P Global completed its all-stock merger with IHS Markit, creating a leading global provider of information, data, and analytics. The merger combined complementary assets in high-growth areas such as ESG, climate, and energy transition.",Merger,IHS Markit Ltd.,Approximately $44 billion,Not available,N/A,S&P Global Press Release,,A
2021-12-27,Agreement to Divest CUSIP Global Services,S&P Global entered into a definitive agreement to sell its CUSIP Global Services (CGS) business to FactSet. This divestiture was part of the regulatory approval process for the merger with IHS Markit.,Divestiture,FactSet,USD 1.925 billion,Not available,N/A,https://investor.spglobal.com/news-releases/news-release-details/sp-global-and-ihs-markit-announce-sale-cusip-global-services,,A
2021-08-02,Agreement to Divest OPIS and Other Businesses,"As a condition for the IHS Markit merger approval, S&P Global and IHS Markit announced a definitive agreement to sell IHS Markit's Oil Price Information Service (OPIS) and related assets to News Corp.",Divestiture,News Corp,USD 1.15 billion,Not available,N/A,https://investor.spglobal.com/news-releases/news-release-details/sp-global-and-ihs-markit-announce-sale-opis-and-related-assets,,A
2021-05-13,Senior Notes Offering,S&P Global announced the pricing of a $13.0 billion offering of senior notes across eight tranches. The net proceeds were intended to fund a portion of the cash consideration for the planned merger with IHS Markit.,Bond Issue,Public Investors,USD 13.0 billion,Not available,N/A,https://investor.spglobal.com/news-releases/news-release-details/sp-global-announces-pricing-130-billion-senior-notes-offering,,A
2021-01-12,Acquisition of ChartIQ,"S&P Global Market Intelligence completed the acquisition of ChartIQ, a provider of financial charting and data visualization solutions for the capital markets.",Acquisition,ChartIQ,Undisclosed,Not available,N/A,https://www.spglobal.com/marketintelligence/en/news-insights/press-release/s-p-global-market-intelligence-completes-acquisition-of-chartiq,,A
2021-01-05,"Acquisition of The Climate Service, Inc.","S&P Global acquired The Climate Service, Inc., a provider of climate risk analytics for corporations, financial institutions and governments. The acquisition enhances S&P Global's ESG and climate-related data offerings.",Acquisition,"The Climate Service, Inc.",Undisclosed,Not available,N/A,https://press.spglobal.com/2021-01-05-S-P-Global-Acquires-The-Climate-Service-Inc-to-Expand-its-ESG-and-Climate-Risk-Capabilities,,A
2021-01-05,Acquisition of Greenwich Associates LLC,"S&P Global completed its acquisition of Greenwich Associates LLC, a leading provider of data, analytics, and insights to the financial services industry. The acquisition was made by S&P Global's subsidiary, CRISIL.",Acquisition,Greenwich Associates LLC,Undisclosed,Not available,N/A,https://www.spglobal.com/en/media-center/press-release-details/2021/crisil-completes-acquisition-of-greenwich-associates,,A
